"State/federal district/territory/
Division/region"	Rank	"2018
population"	Rank	"2010
population"	Rank	"2000
population"	Rank	"2000-
2010
change"	"Geographic
sort"
 Massachusetts	15	"6,902,149"	14	"6,547,629"	13	"6,349,097"	43	3.1%	NEng
 Connecticut	29	"3,572,665"	29	"3,574,097"	29	"3,405,565"	35	4.9%	NEng
 New Hampshire	41	"1,356,458"	42	"1,316,470"	41	"1,235,786"	32	6.5%	NEng
 Maine	42	"1,338,404"	41	"1,328,361"	40	"1,274,923"	39	4.2%	NEng
 Rhode Island	44	"1,057,315"	43	"1,052,567"	43	"1,048,319"	49	0.4%	NEng
 Vermont	49	"626,299"	49	"625,741"	49	"608,827"	44	2.8%	NEng
New England	9	"14,853,290"	9	"14,444,865"	9	"13,922,517"	7	3.8%	NEast
 New York	4	"19,542,209"	3	"19,378,102"	3	"18,976,457"	46	2.1%	MAtl
 Pennsylvania	5	"12,807,060"	6	"12,702,379"	6	"12,281,054"	41	3.4%	MAtl
 New Jersey	11	"8,908,520"	11	"8,791,894"	9	"8,414,350"	37	4.5%	MAtl
Mid-Atlantic	4	"41,257,789"	4	"40,872,375"	4	"39,671,861"	8	3.0%	NEast
Northeast	4	"56,111,079"	4	"55,317,240"	4	"53,594,378"	4	3.2%	USA
 Florida	3	"21,299,325"	4	"18,801,310"	4	"15,982,378"	8	17.6%	SAtl
 Georgia	8	"10,519,475"	9	"9,687,653"	10	"8,186,453"	7	18.3%	SAtl
 North Carolina	9	"10,383,620"	10	"9,535,483"	11	"8,049,313"	6	18.5%	SAtl
 Virginia	12	"8,517,685"	12	"8,001,024"	12	"7,078,515"	16	13.0%	SAtl
 Maryland	19	"6,042,718"	19	"5,773,552"	19	"5,296,486"	23	9.0%	SAtl
 South Carolina	23	"5,084,127"	24	"4,625,364"	26	"4,012,012"	10	15.3%	SAtl
 West Virginia	38	"1,805,832"	37	"1,852,994"	37	"1,808,344"	45	2.5%	SAtl
 Delaware	45	"967,171"	45	"897,934"	45	"783,600"	11	14.6%	SAtl
 District of Columbia	--	"702,455"	--	"601,723"	--	"572,059"	--	5.2%	SAtl
South Atlantic	1	"64,619,953"	1	"59,777,037"	1	"51,769,160"	3	15.5%	South
 Tennessee	16	"6,770,010"	17	"6,346,105"	16	"5,689,283"	19	11.5%	ESC
 Alabama	24	"4,887,871"	23	"4,779,736"	23	"4,447,100"	27	7.5%	ESC
 Kentucky	26	"4,468,402"	26	"4,339,367"	25	"4,041,769"	28	7.4%	ESC
 Mississippi	34	"2,986,530"	31	"2,967,297"	31	"2,844,658"	38	4.3%	ESC
East South Central	8	"19,112,813"	8	"18,432,505"	8	"17,022,810"	5	8.3%	South
 Texas	2	"28,701,845"	2	"25,145,561"	2	"20,851,820"	5	20.6%	WSC
 Louisiana	25	"4,659,978"	25	"4,533,372"	22	"4,468,976"	48	1.4%	WSC
 Oklahoma	28	"3,943,079"	28	"3,751,351"	27	"3,450,654"	24	8.7%	WSC
 Arkansas	33	"3,013,825"	32	"2,915,918"	33	"2,673,400"	22	9.1%	WSC
West South Central	5	"40,318,727"	5	"36,346,202"	5	"31,444,850"	2	15.6%	South
South	1	"124,051,493"	1	"114,555,744"	1	"100,236,820"	1	14.3%	USA
 Illinois	6	"12,741,080"	5	"12,830,632"	5	"12,419,293"	42	3.3%	ENC
 Ohio	7	"11,689,442"	7	"11,536,504"	7	"11,353,140"	47	1.6%	ENC
 Michigan	10	"9,995,915"	8	"9,883,640"	8	"9,938,444"	50	-0.6%	ENC
 Indiana	17	"6,691,878"	15	"6,483,802"	14	"6,080,485"	31	6.6%	ENC
 Wisconsin	20	"5,813,568"	20	"5,686,986"	18	"5,363,675"	34	6.0%	ENC
East North Central	3	"46,931,883"	3	"46,421,564"	2	"45,155,037"	9	2.8%	MWest
 Missouri	18	"6,126,452"	18	"5,988,927"	17	"5,595,211"	29	7.0%	WNC
 Minnesota	22	"5,611,179"	21	"5,303,925"	21	"4,919,479"	26	7.8%	WNC
 Iowa	31	"3,156,145"	30	"3,046,355"	30	"2,926,324"	40	4.1%	WNC
 Kansas	35	"2,911,505"	33	"2,853,118"	32	"2,688,418"	33	6.1%	WNC
 Nebraska	37	"1,929,268"	38	"1,826,341"	38	"1,711,263"	30	6.7%	WNC
 South Dakota	46	"882,235"	46	"814,180"	46	"754,844"	25	7.9%	WNC
  North Dakota	47	"760,077"	48	"672,591"	47	"642,200"	36	4.7%	WNC
West North Central	7	"21,376,861"	7	"20,505,437"	6	"19,237,739"	6	6.6%	MWest
Midwest	3	"68,308,744"	3	"66,927,001"	2	"64,392,776"	3	3.9%	USA
 Arizona	14	"7,171,646"	16	"6,392,017"	20	"5,130,632"	2	24.6%	Mtn
 Colorado	21	"5,695,564"	22	"5,029,196"	24	"4,301,261"	9	16.9%	Mtn
 Utah	30	"3,161,105"	34	"2,763,885"	34	"2,233,169"	3	23.8%	Mtn
 Nevada	32	"3,034,392"	35	"2,700,551"	35	"1,998,257"	1	35.1%	Mtn
 New Mexico	36	"2,095,428"	36	"2,059,179"	36	"1,819,046"	15	13.2%	Mtn
 Idaho	39	"1,754,208"	39	"1,567,582"	39	"1,293,953"	4	21.1%	Mtn
 Montana	43	"1,062,305"	44	"989,415"	44	"902,195"	21	9.7%	Mtn
 Wyoming	50	"577,737"	50	"563,626"	50	"493,782"	12	14.1%	Mtn
Mountain	6	"24,552,385"	6	"22,065,451"	7	"18,172,295"	1	21.4%	West
 California	1	"39,557,045"	1	"37,253,956"	1	"33,871,648"	20	10.0%	Pac
 Washington	13	"7,535,591"	13	"6,724,540"	15	"5,894,121"	13	14.1%	Pac
 Oregon	27	"4,190,713"	27	"3,831,074"	28	"3,421,399"	18	12.0%	Pac
 Hawaii	40	"1,420,491"	40	"1,360,301"	42	"1,211,537"	17	12.3%	Pac
 Alaska	48	"737,438"	47	"710,231"	48	"626,932"	14	13.3%	Pac
Pacific	2	"53,441,278"	2	"49,880,102"	3	"45,025,637"	4	10.8%	West
West	2	"77,993,663"	2	"71,945,553"	3	"63,197,932"	2	13.8%	USA
 50 states and District of Columbia	--	"327,167,434"	--	"308,745,538"	--	"281,421,906"	--	9.7%	NAmer
 Puerto Rico	1	"3,195,153"	1	"3,725,789"	1	"3,808,610"	3	-2.2%	Terr.
 Guam	2	[note 1]	2	"159,358"	2	"154,805"	1	2.9%	Terr.
 U.S. Virgin Islands	3	[note 1]	3	"106,405"	3	"108,612"	2	-2.0%	Terr.
 American Samoa	4	[note 1]	4	"55,519"	5	"57,291"	4	-3.1%	Terr.
 Northern Mariana Islands	5	[note 1]	5	"53,883"	4	"69,221"	5	-22.2%	Terr.
Total Territories	--	[note 1]	--	"4,100,954"	--	"4,198,539"	--	-2.3%	USA
